code,system
14G1.00,readv2
N040.00,readv2
100776.0,med
100914.0,med
106440.0,med
107112.0,med
107791.0,med
107963.0,med
12019.0,med
18155.0,med
21358.0,med
21635.0,med
23552.0,med
23834.0,med
27603.0,med
28853.0,med
30548.0,med
31054.0,med
31209.0,med
31724.0,med
32001.0,med
33264.0,med
36678.0,med
37431.0,med
41941.0,med
42299.0,med
43816.0,med
44203.0,med
44743.0,med
46436.0,med
48832.0,med
49067.0,med
49227.0,med
49787.0,med
50863.0,med
51238.0,med
51239.0,med
53621.0,med
56202.0,med
56232.0,med
56838.0,med
5723.0,med
59738.0,med
62401.0,med
63198.0,med
63365.0,med
6916.0,med
70221.0,med
70658.0,med
71784.0,med
73619.0,med
8350.0,med
844.0,med
93715.0,med
9707.0,med
99414.0,med
9954.0,med
2G25.00,readv2
2G25.11,readv2
2G27.00,readv2
7P20300,readv2
F371200,readv2
F396400,readv2
G5y8.00,readv2
G5yA.00,readv2
H570.00,readv2
N040200,readv2
N040500,readv2
N040700,readv2
N040B00,readv2
N040D00,readv2
N040F00,readv2
N040N00,readv2
N040P00,readv2
N040Q00,readv2
N040T00,readv2
N042100,readv2
N04y000,readv2
N04y012,readv2
66H..13,readv2
9mM..00,readv2
9mM3.00,readv2
9mM4.00,readv2
9mM0.00,readv2
9mM1.00,readv2
9mM2.00,readv2
N005.00,readv2
N04y200,readv2
N04..00,readv2
N040000,readv2
N040100,readv2
N040300,readv2
N040400,readv2
N040800,readv2
N040C00,readv2
N040E00,readv2
N040G00,readv2
N040H00,readv2
N040K00,readv2
N040L00,readv2
N040M00,readv2
N040S00,readv2
N040600,readv2
N040900,readv2
N040A00,readv2
N362200,readv2
N040J00,readv2
Nyu1200,readv2
N040R00,readv2
N042200,readv2
N041.00,readv2
N042.00,readv2
N042z00,readv2
Nyu1000,readv2
N047.00,readv2
N04X.00,readv2
Nyu1100,readv2
Nyu1G00,readv2
N04y011,readv2
102088.0,med
107340.0,med
107435.0,med
107575.0,med
107606.0,med
107676.0,med
107797.0,med
17412.0,med
6639.0,med
J99.0,icd10
M05,icd10
M06,icd10
